time,value
2025-08-27T18:32:57.710661358Z,23.299999237060547
2025-08-27T18:33:00.58772206Z,23.200000762939453
2025-08-27T18:33:39.897703795Z,23.299999237060547
2025-08-27T18:33:42.147571755Z,23.200000762939453
2025-08-27T18:33:44.004728774Z,23.299999237060547
2025-08-27T18:34:18.189632131Z,23.399999618530273
2025-08-27T18:34:20.249807845Z,23.299999237060547
2025-08-27T18:34:30.27464771Z,23.399999618530273
2025-08-27T18:34:38.368667345Z,23.299999237060547
2025-08-27T18:34:40.424568578Z,23.399999618530273
2025-08-27T18:34:42.368789287Z,23.299999237060547
2025-08-27T18:34:44.420756118Z,23.399999618530273
2025-08-27T18:35:08.565673094Z,23.5
2025-08-27T18:35:36.647816078Z,23.600000381469727
2025-08-27T18:35:38.780824072Z,23.5
