gyro_x,gyro_y,gyro_z,timestamp,firebase_key
-0.55,0.0,0.37,2025-08-22 09:02:12.032175+00:00,-OYG-tttZ9WcXh425z1P
-0.55,0.0,0.37,2025-08-22 09:02:13.034410+00:00,-OYG-u7tPOAHws3kHKIz
-0.55,0.0,0.31,2025-08-22 09:02:14.036571+00:00,-OYG-uNeWgxhf30ju5uW
-0.55,0.0,0.37,2025-08-22 09:02:15.038703+00:00,-OYG-ulh9U-Pvl8-sN9l
-0.55,0.0,0.37,2025-08-22 09:02:16.040886+00:00,-OYG-usobmeTA2PXB2th
-0.49,0.0,0.37,2025-08-22 09:02:17.043054+00:00,-OYG-vKD3jcPMASiXEPl
-0.49,0.0,0.31,2025-08-22 09:02:18.075055+00:00,-OYG-vWi8NcYyNQoqpHu
-0.49,0.0,0.31,2025-08-22 09:02:19.047502+00:00,-OYG-viN20YdmD1xnV8A
-0.55,0.0,0.37,2025-08-22 09:02:20.049685+00:00,-OYG-vsGDs4G4xZTFNE-
-0.49,0.0,0.31,2025-08-22 09:02:21.051864+00:00,-OYG-w70q_1AINJ_y-PX
-0.49,0.0,0.31,2025-08-22 09:02:22.054109+00:00,-OYG-wLa68pG-Y-xzGRn
-0.55,0.06,0.37,2025-08-22 09:02:23.056358+00:00,-OYG-wahCSjSvnU5x_Vr
-0.49,0.0,0.31,2025-08-22 09:02:24.058546+00:00,-OYG-wq9GG6eyMthz9vu
-0.49,0.0,0.31,2025-08-22 09:02:25.060711+00:00,-OYG-x4F_j6gGipAcspJ
-0.55,0.0,0.37,2025-08-22 09:02:26.062925+00:00,-OYG-xKHoWYEx2beIFFM
-0.55,0.0,0.31,2025-08-22 09:02:27.065151+00:00,-OYG-x_AnCW4TeDQUZgi
-0.49,0.0,0.31,2025-08-22 09:02:28.067333+00:00,-OYG-xoXiymYukAZYVAt
-0.49,0.0,0.37,2025-08-22 09:02:29.069592+00:00,-OYG-y2pm6QQHLTXvZ6x
-0.55,0.0,0.31,2025-08-22 09:02:30.071920+00:00,-OYG-yIWC7dgg5BXM27d
-0.49,0.0,0.31,2025-08-22 09:02:31.074050+00:00,-OYG-yYQEUo09vCUspD5
-0.49,0.0,0.37,2025-08-22 09:02:32.076259+00:00,-OYG-yn9kEvq8nIyKrUg
-0.55,0.0,0.37,2025-08-22 09:02:33.078456+00:00,-OYG-z1jf0-Og2fOtofy
-0.55,0.0,0.31,2025-08-22 09:02:34.080701+00:00,-OYG-zHXFeZ8MDzZI0l0
-0.49,0.0,0.31,2025-08-22 09:02:35.082817+00:00,-OYG-zWjfxBp8T4837AZ
-0.55,0.0,0.31,2025-08-22 09:02:36.085051+00:00,-OYG-zlr355iYNhJZ_9v
-0.55,0.06,0.31,2025-08-22 09:02:37.087313+00:00,-OYG0-0dsr3CUGRdr_HA
-0.49,-0.06,0.31,2025-08-22 09:02:38.089609+00:00,-OYG0-H1k1PkUFnHMMKo
