timestamp,x,y,z
1.75696E+12,-206.787,-193.787,-210.815
1.75696E+12,46.997,-52.002,160.645
1.75696E+12,419.983,57.312,83.984
1.75696E+12,-56.519,407.41,38.025
1.75696E+12,208.191,98.022,-256.531
1.75696E+12,-340.515,162.903,-11.841
1.75696E+12,327.454,-318.726,-92.163
1.75696E+12,328.247,417.847,-112.915
1.75696E+12,-380.859,327.82,-256.836
1.75696E+12,-234.558,-184.753,432.678
1.75696E+12,203.369,-121.826,-198.914
1.75696E+12,-340.454,118.774,-327.637
1.75696E+12,-27.527,-139.954,88.318
1.75696E+12,200.806,232.727,-154.846
1.75696E+12,-14.343,47.424,-47.18
1.75696E+12,-93.079,-156.433,138.062
1.75696E+12,51.514,143.616,-204.59
1.75696E+12,-30.396,165.771,34.607
1.75696E+12,36.194,10.498,38.452
1.75696E+12,71.167,-21.973,79.285
1.75696E+12,15.503,-6.409,6.531
1.75696E+12,-2.563,0.305,-0.122
1.75696E+12,0.061,0.061,0.549
1.75696E+12,1.099,-0.244,0.854
1.75696E+12,-0.671,0.122,0.366
1.75696E+12,-1.282,0.183,0.305
1.75696E+12,103.027,-39.612,0.671
1.75696E+12,-0.122,0.122,0.366
1.75696E+12,5.493,-0.244,1.16
1.75696E+12,79.041,3.418,4.028
1.75696E+12,-1.953,-1.465,-0.977
1.75696E+12,102.539,34.241,-85.266
1.75696E+12,39.551,10.62,11.841
1.75696E+12,-9.033,-1.709,-2.136
1.75696E+12,-0.305,0.183,0.488
1.75696E+12,-0.488,0.183,0.427
1.75696E+12,-0.488,0.183,0.427
1.75696E+12,-0.549,0.122,0.427
1.75696E+12,-0.549,0.122,0.427
1.75696E+12,-0.549,0.122,0.366
1.75696E+12,-0.61,0.122,0.427
1.75696E+12,-0.488,0.122,0.427
1.75696E+12,-0.488,0.122,0.366
1.75696E+12,-0.427,0.183,0.427
1.75696E+12,-0.427,0.122,0.366
1.75696E+12,-0.61,0.061,0.366
